BHID,section_id,x,y,z,section_x,section_y,TFe
ZK001,SEC_A,5,0,118,12,115,23.1
ZK001,SEC_A,7,1,106,15,103,25.6
ZK001,SEC_A,9,2,94,18,91,31.4
ZK001,SEC_A,11,2,82,20,80,36.2
ZK002,SEC_A,65,4,108,75,106,22.4
ZK002,SEC_A,67,5,96,77,94,27.9
ZK002,SEC_A,69,6,84,79,84,38.1
ZK002,SEC_A,71,7,72,82,73,41.3
ZK003,SEC_A,125,8,101,140,99,20.7
ZK003,SEC_A,127,9,89,142,88,29.8
ZK003,SEC_A,129,10,77,144,78,35.6
ZK003,SEC_A,131,11,65,147,67,42.0
ZK004,SEC_A,185,12,91,202,89,18.9
ZK004,SEC_A,187,13,79,204,80,25.1
ZK004,SEC_A,189,14,67,206,70,33.7
ZK004,SEC_A,191,15,55,209,59,37.9
ZK005,SEC_B,15,160,116,24,114,21.8
ZK005,SEC_B,17,161,104,27,102,24.3
ZK005,SEC_B,19,162,92,30,91,32.2
ZK005,SEC_B,21,163,80,32,79,39.8
ZK006,SEC_B,75,164,106,86,104,24.0
ZK006,SEC_B,77,165,94,89,93,28.6
ZK006,SEC_B,79,166,82,91,82,36.9
ZK006,SEC_B,81,167,70,94,71,43.2
ZK007,SEC_B,135,168,96,148,95,19.8
ZK007,SEC_B,137,169,84,151,84,26.2
ZK007,SEC_B,139,170,72,153,73,34.8
ZK007,SEC_B,141,171,60,156,62,40.5
ZK008,SEC_B,195,172,86,211,84,17.7
ZK008,SEC_B,197,173,74,214,73,22.8
ZK008,SEC_B,199,174,62,216,62,31.6
ZK008,SEC_B,201,175,50,219,51,36.4
